instance,n,config,best_cost,mean_cost,std_cost,mean_time_s,std_time_s
berlin52,52,gls_naive_best__swap,9586.0,10477.5,637.13,0.295,0.0512
berlin52,52,gls_naive_best__2-opt,7804.0,8439.53,270.17,0.2505,0.0206
berlin52,52,gls_naive_best__or-opt-1,7986.0,9013.9,491.57,0.7033,0.0956
berlin52,52,gls_naive_first__swap,9265.0,10400.9,625.68,0.1906,0.0718
berlin52,52,gls_naive_first__2-opt,7841.0,8621.5,363.22,0.2619,0.0842
berlin52,52,gls_naive_first__or-opt-1,7708.0,8766.2,491.17,0.4926,0.1696
berlin52,52,sa_naive_op_cmp__swap__exp_medium,10161.0,11571.8,791.92,0.0177,0.0005
berlin52,52,sa_naive_op_cmp__2-opt__exp_medium,8307.0,9043.47,382.06,0.0212,0.0016
berlin52,52,sa_naive_op_cmp__or-opt-1__exp_medium,9025.0,10341.37,557.0,0.0289,0.0022
berlin52,52,sa_naive_op_cmp__or-opt-2__exp_medium,9220.0,10277.63,654.45,0.0242,0.0008
berlin52,52,sa_naive_op_cmp__or-opt-3__exp_medium,9578.0,10574.57,528.34,0.0259,0.001
berlin52,52,sa_naive_exp__high__swap,8867.0,10025.7,577.5,0.0961,0.0098
berlin52,52,sa_naive_exp__medium__swap,10532.0,11522.23,695.37,0.0181,0.0005
berlin52,52,sa_naive_exp__low__swap,11113.0,12781.97,823.95,0.0093,0.0003
berlin52,52,sa_naive_poly__high__swap,22289.0,25813.9,1452.09,0.0002,0.0
berlin52,52,sa_naive_poly__medium__swap,19171.0,21842.93,1615.12,0.0006,0.0
berlin52,52,sa_naive_poly__low__swap,12399.0,14516.73,828.21,0.0051,0.0001
berlin52,52,sa_naive_log__high__swap,9197.0,10247.43,593.0,0.3531,0.0118
berlin52,52,sa_naive_log__medium__swap,8250.0,8964.8,379.52,0.3106,0.0213
berlin52,52,sa_naive_log__low__swap,11211.0,12107.6,369.57,0.3149,0.0107
berlin52,52,gls_opt__swap,-7930930.0,-3178622.77,2082616.46,0.2749,0.0351
berlin52,52,gls_opt__2-opt,-12132288.0,-4550821.0,3143664.26,0.01,0.0028
berlin52,52,gls_opt__or-opt,18212.0,27765.63,3803.09,0.9241,2.1816
berlin52,52,sa_opt__swap__exp_medium,8504.0,10709.43,1027.83,0.0056,0.0004
berlin52,52,sa_opt__2-opt__exp_medium,-253262.0,-208179.37,25439.51,0.0064,0.0007
berlin52,52,sa_opt__or-opt__exp_medium,26780.0,30139.3,1428.92,0.0032,0.0001
