instance,n,config,best_cost,mean_cost,std_cost,mean_time_s,std_time_s,mean_init_cost,improvement_pct
berlin52,52,gls_naive_first__2-opt,7875.0,8490.2,395.23,0.6195,0.4453,,
berlin52,52,sa_naive_exp__medium__swap,11191.0,11629.2,641.96,0.0473,0.0115,,
berlin52,52,gls_opt__2-opt,8197.0,8646.8,277.02,0.042,0.0161,,
berlin52,52,sa_opt__2-opt__exp_medium,9040.0,9506.8,502.7,0.0253,0.0051,,
bier127,127,gls_naive_first__2-opt,124947.0,168510.6,30852.91,17.1926,3.7981,,
bier127,127,sa_naive_exp__medium__swap,273111.0,285546.0,8362.27,0.079,0.0173,,
bier127,127,gls_opt__2-opt,128653.0,131265.8,2845.47,0.8882,0.234,,
bier127,127,sa_opt__2-opt__exp_medium,210480.0,228774.6,14760.8,0.033,0.0069,,
ch130,130,gls_naive_first__2-opt,6645.0,8003.8,1743.11,23.2325,10.6089,,
ch130,130,sa_naive_exp__medium__swap,17980.0,19136.2,960.1,0.1052,0.0321,,
ch130,130,gls_opt__2-opt,6530.0,6777.2,157.98,0.9809,0.2522,,
ch130,130,sa_opt__2-opt__exp_medium,13456.0,14261.4,696.17,0.027,0.0081,,
ch150,150,gls_naive_first__2-opt,11167.0,12211.0,1097.72,29.1855,9.1496,,
ch150,150,sa_naive_exp__medium__swap,20826.0,22236.4,921.22,0.0999,0.025,,
ch150,150,gls_opt__2-opt,7137.0,7455.8,218.01,1.3766,0.4041,,
ch150,150,sa_opt__2-opt__exp_medium,16324.0,17169.4,600.06,0.0326,0.0098,,
d198,198,gls_naive_first__2-opt,50993.0,71671.4,20158.77,34.0146,25.0419,,
d198,198,sa_naive_exp__medium__swap,68184.0,74292.6,4268.07,0.1477,0.027,,
d198,198,gls_opt__2-opt,16754.0,17119.2,436.11,4.3793,1.7828,,
d198,198,sa_opt__2-opt__exp_medium,50612.0,53878.4,2811.1,0.0352,0.0106,,
eil101,101,gls_naive_first__2-opt,683.0,697.2,11.52,9.4388,1.4206,,
eil101,101,sa_naive_exp__medium__swap,1444.0,1495.2,48.87,0.1185,0.0236,,
eil101,101,gls_opt__2-opt,674.0,697.2,19.66,0.4546,0.0559,,
eil101,101,sa_opt__2-opt__exp_medium,1070.0,1118.0,34.78,0.0365,0.0056,,
eil51,51,gls_naive_first__2-opt,458.0,470.2,16.13,0.4095,0.1196,,
eil51,51,sa_naive_exp__medium__swap,638.0,672.6,21.51,0.0452,0.0123,,
eil51,51,gls_opt__2-opt,438.0,462.4,16.16,0.0359,0.0131,,
eil51,51,sa_opt__2-opt__exp_medium,483.0,499.2,13.42,0.0233,0.0078,,
eil76,76,gls_naive_first__2-opt,580.0,595.0,12.51,1.7286,0.4108,,
eil76,76,sa_naive_exp__medium__swap,922.0,1002.0,63.45,0.0812,0.0241,,
eil76,76,gls_opt__2-opt,588.0,597.6,11.55,0.1479,0.0594,,
eil76,76,sa_opt__2-opt__exp_medium,760.0,804.0,34.4,0.0311,0.0068,,
kroA100,100,gls_naive_first__2-opt,22653.0,23441.8,675.6,9.9628,2.5975,,
kroA100,100,sa_naive_exp__medium__swap,50860.0,57775.2,6459.81,0.07,0.0151,,
kroA100,100,gls_opt__2-opt,22327.0,23750.2,1035.29,0.464,0.0967,,
kroA100,100,sa_opt__2-opt__exp_medium,37492.0,40563.4,1912.02,0.027,0.0052,,
kroA150,150,gls_naive_first__2-opt,53520.0,60212.6,5960.93,18.3791,8.5747,,
kroA150,150,sa_naive_exp__medium__swap,93415.0,98906.4,4283.81,0.1779,0.0533,,
kroA150,150,gls_opt__2-opt,28753.0,29469.6,564.97,1.8348,0.4574,,
kroA150,150,sa_opt__2-opt__exp_medium,65431.0,68632.6,2530.51,0.0295,0.0054,,
kroA200,200,gls_naive_first__2-opt,99252.0,116314.4,11922.02,29.769,23.6106,,
kroA200,200,sa_naive_exp__medium__swap,123628.0,133854.8,6583.96,0.1365,0.0323,,
kroA200,200,gls_opt__2-opt,32712.0,33302.2,878.18,4.0838,0.3468,,
kroA200,200,sa_opt__2-opt__exp_medium,91788.0,98440.6,4919.87,0.0346,0.0077,,
kroB100,100,gls_naive_first__2-opt,24594.0,25288.0,624.32,8.2602,2.1066,,
kroB100,100,sa_naive_exp__medium__swap,56181.0,59496.0,3273.04,0.0737,0.0135,,
kroB100,100,gls_opt__2-opt,24210.0,24438.6,260.65,0.4942,0.0348,,
kroB100,100,sa_opt__2-opt__exp_medium,38629.0,40413.6,1447.28,0.0286,0.0055,,
kroB150,150,gls_naive_first__2-opt,44587.0,49017.4,3299.86,36.8789,8.5964,,
kroB150,150,sa_naive_exp__medium__swap,88007.0,94849.4,4510.78,0.0941,0.021,,
kroB150,150,gls_opt__2-opt,28378.0,29279.6,548.47,1.6094,0.4648,,
kroB150,150,sa_opt__2-opt__exp_medium,64688.0,69106.8,4281.71,0.0272,0.005,,
kroB200,200,gls_naive_first__2-opt,91614.0,108982.8,9885.24,13.6506,14.578,,
kroB200,200,sa_naive_exp__medium__swap,130193.0,135039.2,4747.3,0.117,0.0206,,
kroB200,200,gls_opt__2-opt,32538.0,33494.0,866.77,4.4443,0.6749,,
kroB200,200,sa_opt__2-opt__exp_medium,89127.0,98198.0,6131.26,0.0284,0.0084,,
kroC100,100,gls_naive_first__2-opt,23126.0,23871.0,874.09,9.728,3.1077,,
kroC100,100,sa_naive_exp__medium__swap,57518.0,59465.6,2183.09,0.0665,0.0183,,
kroC100,100,gls_opt__2-opt,23140.0,23896.8,505.92,0.4029,0.0507,,
kroC100,100,sa_opt__2-opt__exp_medium,37229.0,38464.6,1379.56,0.031,0.0082,,
kroD100,100,gls_naive_first__2-opt,23013.0,23543.6,561.78,12.2605,0.8036,,
kroD100,100,sa_naive_exp__medium__swap,54109.0,58060.0,3696.65,0.0658,0.0118,,
kroD100,100,gls_opt__2-opt,23239.0,23510.0,281.49,0.4498,0.0251,,
kroD100,100,sa_opt__2-opt__exp_medium,36949.0,39539.0,2239.4,0.0252,0.0069,,
kroE100,100,gls_naive_first__2-opt,24354.0,25284.2,622.1,8.979,1.7084,,
kroE100,100,sa_naive_exp__medium__swap,58150.0,61065.4,2404.13,0.0653,0.0138,,
kroE100,100,gls_opt__2-opt,24185.0,24890.8,572.7,0.3448,0.1602,,
kroE100,100,sa_opt__2-opt__exp_medium,37779.0,39515.4,1584.38,0.0282,0.0079,,
lin105,105,gls_naive_first__2-opt,15940.0,16470.6,332.34,9.385,1.0865,,
lin105,105,sa_naive_exp__medium__swap,36106.0,41483.6,4081.18,0.072,0.0205,,
lin105,105,gls_opt__2-opt,16114.0,16394.8,235.62,0.4648,0.1107,,
lin105,105,sa_opt__2-opt__exp_medium,25387.0,28877.0,2559.22,0.0261,0.0066,,
pr107,107,gls_naive_first__2-opt,47492.0,48397.2,1098.91,9.2384,1.8166,,
pr107,107,sa_naive_exp__medium__swap,167987.0,178721.0,11872.07,0.0712,0.0197,,
pr107,107,gls_opt__2-opt,46168.0,47297.8,758.87,0.4447,0.0829,,
pr107,107,sa_opt__2-opt__exp_medium,91947.0,96477.2,6456.95,0.0266,0.0085,,
pr124,124,gls_naive_first__2-opt,65262.0,66255.0,735.34,23.5582,2.3361,,
pr124,124,sa_naive_exp__medium__swap,232893.0,245640.2,15945.81,0.0774,0.0208,,
pr124,124,gls_opt__2-opt,63757.0,65418.0,1180.05,0.8038,0.228,,
pr124,124,sa_opt__2-opt__exp_medium,134650.0,147332.0,8105.18,0.0255,0.007,,
pr136,136,gls_naive_first__2-opt,123220.0,131328.8,7545.26,24.9036,2.8866,,
pr136,136,sa_naive_exp__medium__swap,288622.0,302067.2,9333.42,0.0815,0.0129,,
pr136,136,gls_opt__2-opt,105929.0,107120.8,1420.46,1.0317,0.1778,,
pr136,136,sa_opt__2-opt__exp_medium,213279.0,223423.0,6761.23,0.0292,0.0059,,
pr144,144,gls_naive_first__2-opt,91009.0,131503.2,23396.91,29.1607,4.877,,
pr144,144,sa_naive_exp__medium__swap,286993.0,302595.2,16874.56,0.0903,0.0196,,
pr144,144,gls_opt__2-opt,61397.0,64019.4,1929.92,1.2289,0.3357,,
pr144,144,sa_opt__2-opt__exp_medium,188989.0,200612.2,10555.53,0.0385,0.0021,,
pr152,152,gls_naive_first__2-opt,103671.0,160053.6,41631.16,17.9687,13.3533,,
pr152,152,sa_naive_exp__medium__swap,369416.0,399248.4,20365.61,0.0912,0.016,,
pr152,152,gls_opt__2-opt,79192.0,79982.2,575.87,1.639,0.3429,,
pr152,152,sa_opt__2-opt__exp_medium,213573.0,242831.8,20136.75,0.0277,0.0055,,
